"","user_id","activity_date","product_group","n_purchases","gold_spend"
"468",289552,2024-04-09,"Weapon",4,38
"469",277538,2024-04-09,"Weapon",3,15
"470",303874,2024-04-09,"Weapon",6,28
"471",287475,2024-04-09,"Gear",1,1085
"472",296077,2024-04-09,"Weapon",3,46
"473",307884,2024-04-09,"Weapon",1,5
"474",282246,2024-04-09,"Weapon",2,30
"475",297371,2024-04-09,"Weapon",4,54
"476",289521,2024-04-09,"Weapon",5,18
"477",289053,2024-04-09,"Weapon",1,13
"478",275241,2024-04-09,"Weapon",3,37
"479",292142,2024-04-09,"Weapon",1,12
"480",279976,2024-04-09,"Weapon",1,5
"481",281402,2024-04-09,"Weapon",1,17
"482",276293,2024-03-30,"Boost",9,849
"483",284939,2024-03-30,"Weapon",4,20
"484",306524,2024-03-30,"Weapon",1,12
"485",297430,2024-03-30,"Boost",1,44
"486",302643,2024-03-30,"Weapon",1,12
"487",294065,2024-03-30,"Weapon",1,1
"488",304324,2024-03-30,"Weapon",2,19
"489",296044,2024-03-30,"Weapon",2,32
"490",279187,2024-03-30,"Weapon",1,39
"491",297417,2024-03-30,"Weapon",1,11
"492",283612,2024-03-30,"Weapon",1,5
"493",273273,2024-04-08,"Weapon",1,15
"494",301472,2024-04-08,"Weapon",7,74
"495",292928,2024-04-08,"Weapon",3,23
"496",284508,2024-04-08,"Weapon",6,26
"497",293695,2024-04-08,"Weapon",2,10
"498",309339,2024-04-08,"Weapon",1,5
"499",288934,2024-04-08,"Weapon",2,8
"500",288760,2024-04-08,"Weapon",2,22
"501",305058,2024-04-08,"Weapon",3,15
"502",302824,2024-04-08,"Boost",1,100
"503",282998,2024-04-08,"Weapon",1,49
"504",303831,2024-04-08,"Boost",1,49
"505",293204,2024-04-01,"Weapon",5,40
"506",299475,2024-04-01,"Weapon",3,45
"507",294306,2024-04-01,"Weapon",4,77
"508",283507,2024-04-01,"Weapon",2,10
"509",296100,2024-04-01,"Weapon",5,25
"510",283971,2024-04-01,"Weapon",1,13
"511",309318,2024-04-01,"Weapon",2,16
"512",283479,2024-04-01,"Boost",3,9
"513",300070,2024-04-01,"Weapon",2,10
"514",295361,2024-04-01,"Weapon",1,6
"515",291943,2024-04-01,"Weapon",1,47
"516",280858,2024-04-01,"Weapon",1,5
"517",306369,2024-04-01,"Boost",1,100
"518",286014,2024-04-30,"Boost",1,69
"519",305090,2024-04-30,"Weapon",1,5
"520",302118,2024-04-30,"Weapon",2,23
"521",299270,2024-04-30,"Weapon",3,510
"522",304987,2024-03-18,"Boost",4,400
"523",277311,2024-03-18,"Boost",3,21
"524",291826,2024-03-18,"Weapon",7,73
"525",298981,2024-03-18,"Weapon",2,27
"526",276184,2024-03-18,"Boost",1,4
"527",280852,2024-03-18,"Weapon",5,69
"528",306562,2024-03-18,"Weapon",4,20
"529",302308,2024-03-18,"Weapon",1,17
"530",281814,2024-03-18,"Weapon",2,10
"531",293603,2024-03-18,"Weapon",2,25
"532",308212,2024-03-18,"Weapon",1,5
"533",307230,2024-03-18,"Boost",1,2
"534",273696,2024-03-18,"Weapon",2,20
"535",287625,2024-03-18,"Weapon",1,11
"536",301585,2024-03-18,"Weapon",1,11
"537",290429,2024-03-18,"Weapon",1,5
"538",296365,2024-03-18,"Weapon",1,34
"539",306365,2024-04-05,"Weapon",5,75
"540",286436,2024-04-05,"Boost",1,99
"541",305509,2024-04-05,"Weapon",1,500
"542",289177,2024-04-05,"Weapon",4,60
"543",286434,2024-04-05,"Weapon",2,36
"544",291725,2024-04-05,"Weapon",1,15
"545",298742,2024-04-05,"Weapon",6,1199
"546",294197,2024-04-05,"Weapon",1,5
"547",300063,2024-04-05,"Weapon",2,22
"548",290743,2024-04-05,"Weapon",1,15
"549",286965,2024-04-05,"Gear",3,2185
"550",301089,2024-04-05,"Weapon",1,185
"551",301968,2024-04-05,"Weapon",1,3
"552",276740,2024-03-10,"Weapon",3,39
"553",284103,2024-03-10,"Weapon",1,5
"554",290206,2024-03-10,"Weapon",4,48
"555",288312,2024-03-10,"Weapon",3,28
"556",294838,2024-03-10,"Weapon",2,21
"557",288504,2024-03-10,"Weapon",5,45
