"","user_id","activity_date","product_group","dollar_purchase_value","purchase_number"
"350",281460,2024-03-15,"Gold",4.99,4
"351",276293,2024-04-08,"Promotion",9.99,19
"352",297359,2024-03-30,"Remove Ads",4.99,4
"353",276076,2024-04-25,"Promotion",4.99,3
"354",304552,2024-04-19,"Promotion",9.99,15
"355",299483,2024-04-24,"Gold",4.99,4
"356",292701,2024-04-16,"Gold",4.99,1
"357",279199,2024-03-23,"Gold",4.99,65
"358",298034,2024-04-07,"Remove Ads",4.99,3
"359",304190,2024-04-10,"Promotion",4.99,10
"360",295235,2024-03-16,"Gold",4.99,4
"361",295235,2024-03-16,"Gold",29.99,9
"362",297847,2024-04-04,"Gold",4.99,8
"363",297847,2024-04-05,"Promotion",4.99,9
"364",294197,2024-04-10,"Remove Ads",4.99,2
"365",305582,2024-03-30,"Promotion",4.99,1
"366",278753,2024-03-09,"Promotion",4.99,1
"367",282798,2024-03-30,"Gold",4.99,15
"368",282798,2024-04-21,"Gold",4.99,146
"369",309213,2024-04-20,"Promotion",4.99,19
"370",290777,2024-03-24,"Promotion",4.99,1
"371",278879,2024-04-17,"Promotion",4.99,1
"372",298284,2024-04-05,"Gold",4.99,11
"373",304092,2024-03-18,"Gold",4.99,1
"374",290861,2024-04-28,"Gold",4.99,6
"375",300371,2024-04-05,"Remove Ads",4.99,6
"376",309220,2024-04-20,"Remove Ads",4.99,11
"377",277873,2024-03-13,"Promotion",9.99,12
"378",295203,2024-04-23,"Remove Ads",4.99,23
"379",303150,2024-03-13,"Promotion",4.99,2
"380",278091,2024-03-04,"Promotion",4.99,1
"381",298847,2024-03-22,"Gold",29.99,3
"382",272164,2024-05-01,"Gold",29.99,6
"383",305029,2024-03-02,"Gold",4.99,1
"384",294997,2024-03-07,"Gold",4.99,5
"385",299830,2024-04-30,"Gold",4.99,5
"386",299625,2024-03-25,"Gold",4.99,24
"387",276458,2024-05-01,"Gold",4.99,4
"388",306713,2024-04-25,"Remove Ads",4.99,15
"389",280979,2024-04-26,"Gold",4.99,6
"390",281460,2024-04-07,"Promotion",4.99,9
"391",306369,2024-03-28,"Remove Ads",4.99,9
"392",306369,2024-04-12,"Remove Ads",4.99,15
"393",289867,2024-04-25,"Gold",4.99,10
"394",292220,2024-03-08,"Gold",4.99,3
"395",309232,2024-03-08,"Gold",4.99,1
"396",292414,2024-03-25,"Promotion",4.99,2
"397",279374,2024-04-03,"Gold",4.99,4
"398",279199,2024-03-31,"Remove Ads",4.99,93
"399",309187,2024-04-10,"Remove Ads",4.99,5
"400",280588,2024-04-08,"Promotion",9.99,8
"401",296347,2024-03-24,"Remove Ads",4.99,1
"402",308845,2024-03-04,"Gold",19.99,2
"403",282798,2024-04-13,"Gold",4.99,120
"404",309213,2024-04-10,"Promotion",4.99,12
"405",287608,2024-03-24,"Promotion",4.99,1
"406",307623,2024-03-24,"Remove Ads",4.99,11
"407",299270,2024-03-28,"Promotion",4.99,11
"408",291890,2024-03-20,"Gold",4.99,2
"409",297847,2024-03-14,"Gold",4.99,3
"410",301239,2024-03-31,"Gold",4.99,3
"411",279533,2024-03-09,"Promotion",9.99,1
"412",291975,2024-04-27,"Promotion",4.99,5
"413",299637,2024-03-26,"Promotion",4.99,1
"414",281777,2024-04-18,"Promotion",9.99,3
"415",287596,2024-04-02,"Promotion",4.99,12
"416",282528,2024-04-24,"Promotion",4.99,1
"417",302714,2024-03-02,"Promotion",4.99,1
"418",309220,2024-03-16,"Remove Ads",4.99,5
"419",289643,2024-04-23,"Promotion",4.99,2
"420",277453,2024-04-20,"Gold",9.99,5
"421",287249,2024-03-21,"Gold",4.99,5
"422",282812,2024-03-15,"Promotion",9.99,1
"423",289575,2024-04-16,"Remove Ads",4.99,2
"424",299830,2024-03-11,"Gold",4.99,1
"425",275257,2024-04-07,"Promotion",4.99,2
"426",289914,2024-03-14,"Promotion",4.99,1
"427",299298,2024-04-04,"Promotion",4.99,1
"428",276293,2024-03-30,"Gold",4.99,8
"429",272505,2024-04-22,"Gold",9.99,1
"430",302415,2024-04-09,"Remove Ads",NA,5
"431",295423,2024-04-15,"Remove Ads",4.99,8
"432",282355,2024-04-21,"Gold",4.99,2
"433",287597,2024-03-16,"Promotion",4.99,1
"434",293903,2024-03-15,"Promotion",4.99,1
"435",304552,2024-04-08,"Gold",4.99,3
"436",292599,2024-03-10,"Promotion",4.99,1
"437",284891,2024-03-22,"Gold",4.99,6
"438",296840,2024-03-02,"Promotion",4.99,3
"439",299527,2024-03-21,"Gold",4.99,22
"440",299527,2024-03-22,"Gold",4.99,28
"441",299527,2024-04-01,"Gold",4.99,37
"442",299527,2024-04-04,"Gold",4.99,41
"443",288492,2024-03-05,"Gold",9.99,7
"444",273281,2024-04-15,"Promotion",4.99,1
"445",277661,2024-04-05,"Promotion",4.99,2
"446",304051,2024-03-06,"Remove Ads",4.99,5
"447",286398,2024-03-06,"Gold",4.99,5
"448",306836,2024-04-08,"Promotion",4.99,1
"449",277530,2024-04-13,"Gold",4.99,2
"450",278879,2024-04-18,"Promotion",4.99,2
"451",294783,2024-03-13,"Promotion",4.99,3
"452",299270,2024-04-14,"Gold",4.99,23
"453",272448,2024-04-21,"Promotion",4.99,1
"454",302598,2024-04-15,"Promotion",4.99,3
"455",298284,2024-04-28,"Gold",4.99,14
"456",307570,2024-04-25,"Gold",4.99,1
"457",303477,2024-04-03,"Gold",19.99,4
"458",295203,2024-03-23,"Promotion",4.99,5
"459",283901,2024-03-04,"Gold",4.99,3
"460",287427,2024-04-04,"Gold",4.99,7
"461",299211,2024-03-24,"Promotion",4.99,1
"462",273601,2024-03-13,"Promotion",4.99,2
"463",282987,2024-03-22,"Gold",4.99,3
"464",284330,2024-03-14,"Promotion",4.99,3
"465",296423,2024-04-10,"Promotion",4.99,2
"466",303111,2024-04-15,"Promotion",4.99,1
"467",296177,2024-04-14,"Gold",4.99,16
"468",272189,2024-03-06,"Promotion",4.99,1
"469",288605,2024-03-07,"Gold",4.99,4
"470",307903,2024-03-19,"Gold",4.99,4
"471",282726,2024-03-29,"Promotion",4.99,1
"472",307532,2024-04-12,"Gold",4.99,1
"473",291471,2024-03-01,"Promotion",4.99,1
"474",285497,2024-04-30,"Gold",4.99,3
"475",286542,2024-04-23,"Promotion",4.99,1
"476",279199,2024-03-02,"Gold",9.99,6
"477",279199,2024-03-03,"Gold",9.99,21
"478",279199,2024-04-14,"Gold",4.99,114
"479",294362,2024-03-23,"Remove Ads",4.99,3
"480",284891,2024-04-03,"Gold",4.99,20
"481",297157,2024-04-25,"Gold",4.99,3
"482",282387,2024-04-02,"Promotion",4.99,22
"483",284665,2024-04-23,"Promotion",4.99,10
"484",286253,2024-03-27,"Promotion",4.99,6
"485",295460,2024-04-21,"Gold",4.99,17
"486",299270,2024-03-29,"Promotion",9.99,12
"487",296084,2024-04-30,"Promotion",4.99,4
"488",282798,2024-03-28,"Gold",4.99,1
"489",282798,2024-04-10,"Gold",4.99,65
"490",282798,2024-04-11,"Gold",4.99,92
"491",301239,2024-03-31,"Gold",4.99,2
